store,websites,sku,cost,price,description
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2228,3400,149,"These silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 75</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2229,1700,80,"These silver chain anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 40</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2230,1700,80,"These floral silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 40</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2231,2500,109,"These floral silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2232,2500,109,"These jhalar silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2233,2500,109,"These classic silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2234,2500,109,"These classic silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2235,2500,109,"These tribal silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2236,2500,109,"These tribal silver anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2237,2500,109,"These tribal silver anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2238,2500,109,"These jhalar silver anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2239,2500,109,"These jhalar silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2240,1450,74,"These classic silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 35</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2241,1450,74,"These floral silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 35</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2228,3400,7900,"These silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 75</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2229,1700,4400,"These silver chain anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 40</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2230,1700,4400,"These floral silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 40</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2231,2500,5900,"These floral silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2232,2500,5900,"These jhalar silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2233,2500,5900,"These classic silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2234,2500,5900,"These classic silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2235,2500,5900,"These tribal silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2236,2500,5900,"These tribal silver anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2237,2500,5900,"These tribal silver anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2238,2500,5900,"These jhalar silver anklets pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2239,2500,5900,"These jhalar silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 55</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2240,1450,3900,"These classic silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 35</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2241,1450,3900,"These floral silver anklets with ghungroos pair beautifully with your traditional as well contemporary ensembles.<ul><li>Color: Silver</li><li>Measurements: End to End Length - 10 inches</li><li>Material(s): Silver</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): 35</li></ul>"
