store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,product_type_all,color,vendor_sku,fashion_style,vendor,msrp_price,price,cost,shipping_days,shipping_time_filter,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,product_type_url,exclude_from_promotions,vendor_shipping_days,vendor_id,gendor,fit_type
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN405G,0,Golden Crescent Earrings with Turquoise Stones,golden-crescent-earrings-with-turquoise-stones-c-ic4nov15in405g-indiancultr,Earrings,Gold,IN405G,Western Wear,Cultr Fashion & Lifestyle LLP,,5396,3800,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden crescent earrings adorned with white kundan  work. Featuring turquoise stones and pearls detail with stone drop. <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN203B,0,Golden Earrings with Blue Stone and Kundan Detail,golden-earrings-with-blue-stone-and-kundan-detail-c-ic4nov15in203b-indiancultr,Earrings,Gold,IN203B,Western Wear,Cultr Fashion & Lifestyle LLP,,2840,2000,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted crescent earrings adorned with white kundan  work. Featuring tourmaline blue stones and pearls detail from Gujarat. <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN360B,0,Golden Handcrafted Earrings with Blue Stone,golden-handcrafted-earrings-with-blue-stone-c-ic4nov15in360b-indiancultr,Earrings,Gold,IN360B,Western Wear,Cultr Fashion & Lifestyle LLP,,4828,3400,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted crescent earrings adorned with white kundan  work. Featuring blue stones and pearls detail from Gujarat. Blue stone drop. <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN203P,0,Golden Crescent Earrings with Kundan Work,golden-crescent-earrings-with-kundan-work-c-ic4nov15in203p-indiancultr,Earrings,Gold,IN203P,Western Wear,Cultr Fashion & Lifestyle LLP,,2840,2000,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted crescent earrings adorned with white kundan  work. Featuring tourmaline pink stones and pearls detail from Gujarat. <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN100R,0,Golden Earrings with Carnelian Stone Detail,golden-earrings-with-carnelian-stone-detail-c-ic4nov15in100r-indiancultr,Earrings,Gold,IN100R,Western Wear,Cultr Fashion & Lifestyle LLP,,1562,1100,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden earrings featuring handcrafted leaf motifs adorned with red carnelian stones. Stone drops with golden beads <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN236P,0,Golden Layered Earrings with Tourmaline Stones,golden-layered-earrings-with-tourmaline-stones-c-ic4nov15in236p-indiancultr,Earrings,Gold,IN236P,Western Wear,Cultr Fashion & Lifestyle LLP,,3266,2300,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted layered Kundan earrings adorned with tourmaline stones and pearls from Gujarat. <ul><li> Closure: Push Back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN225S,0,Golden Handcrafted Earrings with Quartz Detail,golden-handcrafted-earrings-with-quartz-detail-c-ic4nov15in225s-indiancultr,Earrings,Gold,IN225S,Western Wear,Cultr Fashion & Lifestyle LLP,,3124,2200,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted earrings featuring floral etched earrings with smoky quartz. Adorned with textured jhumki drop and pearls. <ul><li> Closure: Push back</li></ul> ,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN150B,0,Golden Geometric Earrings with Onyx Stone,golden-geometric-earrings-with-onyx-stone-c-ic4nov15in150b-indiancultr,Earrings,Gold,IN150B,Western Wear,Cultr Fashion & Lifestyle LLP,,2272,1600,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden embossed geometric earrings featuring black onyx stone detail. Adorned with stone drops. <ul><li> Closure: Hook</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN200C,0,Golden Earrings with Chain Tassels,golden-earrings-with-chain-tassels-c-ic4nov15in200c-indiancultr,Earrings,Gold,IN200C,Western Wear,Cultr Fashion & Lifestyle LLP,,2840,2000,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden earrings featuring amethyst stone top and detail with studded black onyx stone. Adorned with golden chain tassels. <ul><li> Closure: Push back</li></ul>  ,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN125F,0,Golden Floral Earrings with Onyx Stone Drop,golden-floral-earrings-with-onyx-stone-drop-c-ic4nov15in125f-indiancultr,Earrings,Gold,IN125F,Western Wear,Cultr Fashion & Lifestyle LLP,,1846,1300,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden earrings featuring handcrafted textured floral motif. Adorned with black onyx stone drop. <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN227K,0,Golden Handcrafted Crescent Earrings,golden-handcrafted-crescent-earrings-c-ic4nov15in227k-indiancultr,Earrings,Gold,IN227K,Western Wear,Cultr Fashion & Lifestyle LLP,,3124,2200,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted crescent earrings adorned with white kundan  work. Featuring white stones and pearls detail from Gujarat. <ul><li> Closure: Push back</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN145C,0,Golden Ear Cuff with Pearl Drop,golden-ear-cuff-with-pearl-drop-c-ic4nov15in145c-indiancultr,Earrings,Gold,IN145C,Western Wear,Cultr Fashion & Lifestyle LLP,,2130,1500,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden ear cuff featuring golden chain tassels. Adorned with Gujarat pearl drops. <ul><li> Closure: Slip On</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN600T,0,Golden Headpiece with White Pearl Drop,golden-headpiece-with-white-pearl-drop-c-ic4nov15in600t-indiancultr,Head Pieces,Gold,IN600T,Western Wear,Cultr Fashion & Lifestyle LLP,,1704,1200,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden handcrafted headpiece featuring kundan detail. Adorned with white pearl drop from Gujarat. <ul><li> Closure: Hook</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/head-piece-maang-tikka,,0,EXGEs5,Women,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35,3244,3332",C-IC4NOV15IN225W,0,Golden Handcrafted Earrings with Leaf Motifs ,golden-handcrafted-earrings-with-leaf-motifs--c-ic4nov15in225w-indiancultr,Earrings,Gold,IN225W,Western Wear,Cultr Fashion & Lifestyle LLP,,3124,2200,6,6 Days,2,4,No,ONESIZE,0,0,1,Non Returnable,"Golden handcrafted earrings featuring leaf motifs. Adorned with tanzanite stones, pearls and Jhumka drop. <ul><li> Closure: Continuous Hook</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,accessories/earrings,,0,EXGEs5,Women,
